,inputType,sentences,target,trans_input
39,8192,  address line user info address  form container id  last name user info lastname  main fragment container,2,address line user info address form id last name user info main
40,8192,  address line optional user info address  form container id  address line user info address  main fragment container,2,address line optional user info address form id address line user info address main
41,0,  tag input attributes name number type tel label ua autofill hints id ccnumber maxlength   tag form attributes name webview  tag input attributes name securitycode type tel label ua autofill hints id ccsecuritycode maxlength   tag input attributes name securitycode type tel label ua autofill hints id ccsecuritycode maxlength ,12,tag input attributes name number type tel label id tag form attributes name tag input attributes name type tel label id tag input attributes name type tel label id
42,0,  mm yy tag input attributes name expirydate type tel label mm yy ua autofill hints id ccexpirydate maxlength   tag form attributes name webview  center panel  center panel,13,mm tag input attributes name type tel label mm id tag form attributes name center panel center panel
44,0,  missing tag input attributes name holdername type text label name on card ua autofill hints id ccname maxlength   tag form attributes name webview  center panel  mm yy tag input attributes name expirydate type tel label mm yy ua autofill hints id ccexpirydate maxlength ,17,tag input attributes name type text label name on card id tag form attributes name center panel mm tag input attributes name type tel label mm id
48,209,  ap ra email or phone mobile number or email ap email login  missing   missing   missing ,19,ap ra email or phone mobile number or email ap email login
49,225,  amazon password amazon password ap password  missing auth password container  missing   missing ,18,amazon password amazon password ap password password
50,113,  house no edittexthousenum  textinputhousenum    ,2,house no
51,65649,  apartment name edittextresidentialcomplex  textinputresidentialcomplex    textinput placeholder,2,apartment name
52,113,  street details to locate you edittextstreetname  textinputstreetname  textinput placeholder  textinput placeholder,2,street details to locate you
53,113,  landmark for easy reach out edittextlandmark  textinputlandmark  textinput placeholder  ,2,for easy reach out
54,65649,  area details edittextarea  textinputarea  parentscrollview  ,2,area details
55,4098,  pincode edittextpincode  textinputpincode    ,5,missing
56,97,  nick name this address as edittextaddressnick  textinputaddressnick    parentscrollview,17,nick name this address as
57,113,  house no edittexthousenum  textinputhousenum    ,2,house no
58,65649,  apartment name edittextresidentialcomplex  textinputresidentialcomplex  parentscrollview  ,2,apartment name
59,113,  street details to locate you edittextstreetname  textinputstreetname    ,2,street details to locate you
60,113,  landmark for easy reach out edittextlandmark  textinputlandmark  parentscrollview  parentscrollview,2,for easy reach out
61,65649,  area details edittextarea  textinputarea  textinput placeholder  ,2,area details
62,4098,  pincode edittextpincode  textinputpincode    textinput placeholder,5,missing
63,97,  nick name this address as edittextaddressnick  textinputaddressnick    textinput placeholder,17,nick name this address as
64,3,  contact number to say hello edittextmobilenumber  textinputmobilenumber  personaldetailscontainer  personaldetailscontainer,19,contact number to say hello
66,97,  enter first name edittextfirstname  textinputfirstname    textinput placeholder,17,enter first name
67,97,  enter last name edittextlastname  textinputlastname  textinput placeholder  ,17,enter last name
68,1,  full name address ui widgets enteraddressfullname  missing   missing   missing ,17,full name address
69,3,  phone number e g address ui widgets enteraddressphonenumber  missing   missing   missing address ui widgets enteraddressformcontainer,19,phone number e g address address
70,1,  e g address ui widgets enteraddresspostalcodeone  missing   missing   missing ,5,e g address
71,1,  e g address ui widgets enteraddresspostalcodetwo  missing   missing address ui widgets enteraddressformcontainer  missing ,5,e g address address
72,1,  city ward town e g narita shi furugome address ui widgets enteraddressline  missing   missing address ui widgets enteraddressformcontainer  missing ,0,city ward town e g address address
73,1,  chome banchi go e g address ui widgets enteraddressline  missing   missing address ui widgets enteraddressformcontainer  missing ,3,go e g address address
74,1,  building apt company name e g az building address ui widgets enterbuildingorcompanyname  missing   missing   missing address ui widgets enteraddressformcontainer,2,building company name e g az building address address
75,1,  unit room no e g address ui widgets enterunitorroomnumber  missing   missing address ui widgets enteraddressformcontainer  missing ,2,unit room no e g address address
77,524433,  user id login user id  login user input  textinput placeholder  ,17,user id login user id login user input
78,129,  password login password  login password input  textinput placeholder  ,18,password login password login password input
79,2,  card number digits edit card number  edit card number layout    textinput placeholder,12,card number edit card number edit card number layout
80,4098,  mobile number edittext  linearlayout  textview  on boarding nav host fragment,19,mobile number on host
82,8193,    house flat number  constraintlayout  constraintlayout,2,house flat number
83,8193,  building flat name edittext  building flat name    ,2,building flat name building flat name
84,0,  user selected area edittext  saved address area textinputlayout  textinput placeholder  ,2,user selected area saved address area
85,0,    pincode    ,5,missing
87,33,  usernameedittext  scroll  action bar root  usernametextview,15,action bar root
88,129,  passwordedittext  passwordinput  layoutpassword  textinput placeholder,18,missing
89,8193,  creditcardfirstnameinputedittext  creditcardfirstnameinputlayout  textinput placeholder  ,17,missing
90,8193,  creditcardlastnameinputedittext  creditcardlastnameinputlayout    textinput placeholder,17,missing
91,2,  creditcardnumberinputedittext  creditcardnumberinputlayout    textinput placeholder,12,missing
93,2,  expirymonthedittext  expirymonthlayout  textinput placeholder  creditcardexpirydatetextinput,13,missing
94,2,  expiryyearedittext  expiryyearlayout    textinput placeholder,13,missing
96,0,  missing tag input attributes name firstname type text label first name as shown on passport ua autofill hints id txt first name crowdsourcing autofill hints name first computed autofill hints name first crowdsourcing predictions autofill hints name first maxlength   tag form attributes name passengerdetailvo webview  missing tag input attributes name countrycodeauto type text label country code ua autofill hints address home country id countrycodeauto crowdsourcing autofill hints no server data computed autofill hints address home country crowdsourcing predictions autofill hints no server data maxlength   missing tag input attributes name title type select one label title ua autofill hints id option title crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data ,17,tag input attributes name type text label first name as shown on id first name name first name first name first tag form attributes name tag input attributes name type text label country code address home country id no server data address home country no server data tag input attributes name title type select one label title id option title no server data unknown type no server data
97,0,  missing tag input attributes name lastname type text label last name as shown on passport ua autofill hints id txt last name crowdsourcing autofill hints name last computed autofill hints name last crowdsourcing predictions autofill hints name last maxlength   tag form attributes name passengerdetailvo webview  missing tag input attributes name contactpersonindex type select one label contact person ua autofill hints id contactperson crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data   missing tag input attributes name email type email label email address ua autofill hints email address id email crowdsourcing autofill hints email address computed autofill hints email address crowdsourcing predictions autofill hints email address maxlength ,17,tag input attributes name type text label last name as shown on id last name name last name last name last tag form attributes name tag input attributes name type select one label contact person id no server data unknown type no server data tag input attributes name email type email label email address email address id email email address email address email address
99,0,  missing tag input attributes name dobtxt type tel label date of birth dd mm yyyy ua autofill hints id dobtxt crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data maxlength   tag form attributes name passengerdetailvo webview  missing tag input attributes name title type select one label title ua autofill hints id option title crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data   missing tag input attributes name contactpersonindex type select one label contact person ua autofill hints id contactperson crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data ,13,tag input attributes name type tel label date of birth dd mm id no server data unknown type no server data tag form attributes name tag input attributes name title type select one label title id option title no server data unknown type no server data tag input attributes name type select one label contact person id no server data unknown type no server data
100,0,  missing tag input attributes name contactpersonindex type select one label contact person ua autofill hints id contactperson crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data   tag form attributes name passengerdetailvo webview  missing tag input attributes name telnumber type tel label mobile number ua autofill hints phone home whole number id tele number textbox crowdsourcing autofill hints phone home city and number computed autofill hints phone home city and number crowdsourcing predictions autofill hints phone home city and number maxlength   missing tag input attributes name firstname type text label first name as shown on passport ua autofill hints id txt first name crowdsourcing autofill hints name first computed autofill hints name first crowdsourcing predictions autofill hints name first maxlength ,17,tag input attributes name type select one label contact person id no server data unknown type no server data tag form attributes name tag input attributes name type tel label mobile number phone home whole number id number phone home city and number phone home city and number phone home city and number tag input attributes name type text label first name as shown on id first name name first name first name first
102,0,  missing tag input attributes name email type email label email address ua autofill hints email address id email crowdsourcing autofill hints email address computed autofill hints email address crowdsourcing predictions autofill hints email address maxlength   tag form attributes name passengerdetailvo webview  missing tag input attributes name ffpnumber type text label emirates skywards number optional ua autofill hints id txt ffp crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data maxlength   missing tag input attributes name contactpersonindex type select one label contact person ua autofill hints id contactperson crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data ,15,tag input attributes name email type email label email address email address id email email address email address email address tag form attributes name tag input attributes name type text label number optional id no server data unknown type no server data tag input attributes name type select one label contact person id no server data unknown type no server data
103,0,  missing tag input attributes name countrycodeauto type text label country code ua autofill hints address home country id countrycodeauto crowdsourcing autofill hints no server data computed autofill hints address home country crowdsourcing predictions autofill hints no server data maxlength   tag form attributes name passengerdetailvo webview  missing tag input attributes name lastname type text label last name as shown on passport ua autofill hints id txt last name crowdsourcing autofill hints name last computed autofill hints name last crowdsourcing predictions autofill hints name last maxlength   missing tag input attributes name title type select one label title ua autofill hints id option title crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data ,10,tag input attributes name type text label country code address home country id no server data address home country no server data tag form attributes name tag input attributes name type text label last name as shown on id last name name last name last name last tag input attributes name title type select one label title id option title no server data unknown type no server data
104,0,  missing tag input attributes name telnumber type tel label mobile number ua autofill hints phone home whole number id tele number textbox crowdsourcing autofill hints phone home city and number computed autofill hints phone home city and number crowdsourcing predictions autofill hints phone home city and number maxlength   tag form attributes name passengerdetailvo webview  missing tag input attributes name email type email label email address ua autofill hints email address id email crowdsourcing autofill hints email address computed autofill hints email address crowdsourcing predictions autofill hints email address maxlength   missing tag input attributes name dobtxt type tel label date of birth dd mm yyyy ua autofill hints id dobtxt crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data maxlength ,19,tag input attributes name type tel label mobile number phone home whole number id number phone home city and number phone home city and number phone home city and number tag form attributes name tag input attributes name email type email label email address email address id email email address email address email address tag input attributes name type tel label date of birth dd mm id no server data unknown type no server data
105,209,  email address email  missing   missing   missing ,15,email address email
106,1,  first name as shown on passport txt first name  missing first name div  missing pax details section  missing ,17,first name as shown on first name first name details section
107,1,  last name as shown on passport txt last name  missing   missing pax details section  missing ,17,last name as shown on last name details section
109,3,  date of birth dd mm yyyy dobtxt  missing dateofbirth  missing   missing pax details section,13,date of birth dd mm details section
110,3,  mobile number tele number textbox  missing   missing   missing ,19,mobile number number
111,1,  country code countrycodeauto  missing   missing   missing ,10,country code
114,1,  edit profile external link  edit profile external link section    ,20,edit profile external link edit profile external link section
115,1,  edit profile first name  edit profile first name container  edit profile layout  edit profile layout,17,edit profile first name edit profile first name edit profile layout edit profile layout
116,1,  edit profile last name  edit profile last name section    ,17,edit profile last name edit profile last name section
117,33,  edit profile email  edit profile email section  edit profile layout  ,15,edit profile email edit profile email section edit profile layout
118,209,  email email  missing   missing label email  missing create email input,15,email email label email create email input
119,1,  username username  missing   missing create username input  missing create username input,15,username username create username input create username input
120,225,  password new password  missing   missing label new password  missing ,18,password new password label new password
121,1,  first name first name checkout shipping address first name  missing   missing   missing ,17,first name first name checkout shipping address first name
122,1,  last name last name checkout shipping address last name  missing   missing   missing ,17,last name last name checkout shipping address last name
123,1,  address max characters address max characters checkout shipping address address  missing   missing   missing ,2,address max characters address max characters checkout shipping address address
124,1,  street address optional street address optional checkout shipping address address  missing   missing   missing ,2,street address optional street address optional checkout shipping address address
125,1,  city city checkout shipping address city  missing   missing   missing ,0,city city checkout shipping address city
126,1,  postal code postal code checkout shipping address zip  missing   missing   missing ,5,postal code postal code checkout shipping address zip
127,3,  phone phone checkout shipping address phone  missing   missing   missing ,19,phone phone checkout shipping address phone
128,1,  email or member number sign in member id  sign in member id layout  textinput suffix text  textinput suffix text,15,email or member number sign in member id sign in member id layout text text
129,129,  pin password sign in pin  sign in pin layout  textinput placeholder  textinput prefix text,18,pin password sign in pin sign in pin layout text
130,8193,  first name user info first name  user info first name layout  user info view  ,17,first name user info first name user info first name layout user info view
132,8193,  last name user info last name  user info last name layout    ,17,last name user info last name user info last name layout
134,33,  e mail address user info email  user info email layout    textinput placeholder,15,e mail address user info email user info email layout
135,129,  create password user info password  user info password layout    textinput placeholder,18,create password user info password user info password layout
136,129,  verify password user info verify password  user info verify password layout  user info view  user info view,18,verify password user info verify password user info verify password layout user info view user info view
137,8193,  address address street  address street layout    address detail view,2,address address street address street layout address detail view
138,8193,  street address continued address street second  address street second layout    ,2,street address continued address street second address street second layout
139,8193,  city address city  address city layout  address detail view  textinput placeholder,0,city address city address city layout address detail view
140,112,  postal code address postal code  address postal code layout    ,5,postal code address postal code address postal code layout
141,0,  missing tag input attributes name addresscountry type select one label country region ua autofill hints id countryselect   tag form attributes name phonenumberform   missing tag input attributes name telephone type tel label phone number ua autofill hints id phonenumber maxlength   missing tag input attributes name telephone type tel label phone number ua autofill hints id phonenumber maxlength ,10,tag input attributes name type select one label country region id tag form attributes name tag input attributes name telephone type tel label phone number id tag input attributes name telephone type tel label phone number id
142,0,  missing tag input attributes name telephone type tel label phone number ua autofill hints id phonenumber maxlength   tag form attributes name phonenumberform   missing tag input attributes name addresscountry type select one label country region ua autofill hints id countryselect   missing tag input attributes name addresscountry type select one label country region ua autofill hints id countryselect ,19,tag input attributes name telephone type tel label phone number id tag form attributes name tag input attributes name type select one label country region id tag input attributes name type select one label country region id
143,0,  missing tag input attributes name monthselect type select one label month ua autofill hints id monthselect   tag form attributes name   missing tag input attributes name dayselect type select one label day ua autofill hints id dayselect   webview content frame,13,tag input attributes name type select one label month id tag form attributes name tag input attributes name type select one label day id content frame
144,0,  missing tag input attributes name dayselect type select one label day ua autofill hints id dayselect   tag form attributes name   missing tag input attributes name monthselect type select one label month ua autofill hints id monthselect   missing tag input attributes name monthselect type select one label month ua autofill hints id monthselect ,13,tag input attributes name type select one label day id tag form attributes name tag input attributes name type select one label month id tag input attributes name type select one label month id
145,0,  missing tag input attributes name addresscountry type select one label country region ua autofill hints address home country id countryselect   tag form attributes name mailingaddressform   webview content frame  missing tag input attributes name state type text label county province state ua autofill hints address home state id state maxlength ,10,tag input attributes name type select one label country region address home country id tag form attributes name content frame tag input attributes name state type text label county province state address home state id state
146,0,  missing tag input attributes name streetaddress type text label street address ua autofill hints address home line id address maxlength   tag form attributes name mailingaddressform   missing tag input attributes name addresslocality type text label city ua autofill hints address home city id city maxlength   missing tag input attributes name addresslocality type text label city ua autofill hints address home city id city maxlength ,2,tag input attributes name type text label street address address home line id address tag form attributes name tag input attributes name type text label city address home city id city tag input attributes name type text label city address home city id city
147,0,  missing tag input attributes name address type text label street address continued ua autofill hints address home line id address maxlength   tag form attributes name mailingaddressform   missing tag input attributes name streetaddress type text label street address ua autofill hints address home line id address maxlength   missing tag input attributes name streetaddress type text label street address ua autofill hints address home line id address maxlength ,2,tag input attributes name address type text label street address continued address home line id address tag form attributes name tag input attributes name type text label street address address home line id address tag input attributes name type text label street address address home line id address
148,0,  missing tag input attributes name state type text label county province state ua autofill hints address home state id state maxlength   tag form attributes name mailingaddressform   missing tag input attributes name addresslocality type text label city ua autofill hints address home city id city maxlength   missing tag input attributes name address type text label street address continued ua autofill hints address home line id address maxlength ,4,tag input attributes name state type text label county province state address home state id state tag form attributes name tag input attributes name type text label city address home city id city tag input attributes name address type text label street address continued address home line id address
149,0,  missing tag input attributes name addresslocality type text label city ua autofill hints address home city id city maxlength   tag form attributes name mailingaddressform   missing tag input attributes name state type text label county province state ua autofill hints address home state id state maxlength   missing tag input attributes name postalcode type text label zip code ua autofill hints address home zip id zipcode maxlength ,0,tag input attributes name type text label city address home city id city tag form attributes name tag input attributes name state type text label county province state address home state id state tag input attributes name type text label zip code address home zip id
150,0,  missing tag input attributes name postalcode type text label zip code ua autofill hints address home zip id zipcode maxlength   tag form attributes name mailingaddressform   missing tag input attributes name addresscountry type select one label country region ua autofill hints address home country id countryselect   missing tag input attributes name address type text label street address continued ua autofill hints address home line id address maxlength ,5,tag input attributes name type text label zip code address home zip id tag form attributes name tag input attributes name type select one label country region address home country id tag input attributes name address type text label street address continued address home line id address
151,0,  missing tag input attributes name cardnumber type text label payment card number ue ua autofill hints credit card number id cardnumberelement maxlength   tag form attributes name   missing tag input attributes name billingaddresscountry type select one label country region ua autofill hints address home country id billingaddresscountryelement   missing tag input attributes name billingaddressone type text label address ua autofill hints address home line id billingaddressoneelement maxlength ,12,tag input attributes name type text label payment card number credit card number id tag form attributes name tag input attributes name type select one label country region address home country id tag input attributes name type text label address address home line id
152,0,  missing tag input attributes name cc exp month type select one label expiration date ue ua autofill hints credit card exp month id cardexpirationmonthelement   tag form attributes name   missing tag input attributes name billingaddresstwo type text label address continued ue ua autofill hints address home line id billingaddresstwoelement maxlength   missing tag input attributes name cardnumber type text label payment card number ue ua autofill hints credit card number id cardnumberelement maxlength ,13,tag input attributes name cc exp month type select one label date credit card exp month id tag form attributes name tag input attributes name type text label address continued address home line id tag input attributes name type text label payment card number credit card number id
153,0,  missing tag input attributes name cc exp year type select one label expiration year ua autofill hints credit card exp digit year id cardexpirationyearelement   tag form attributes name   missing tag input attributes name cc exp month type select one label expiration date ue ua autofill hints credit card exp month id cardexpirationmonthelement   missing tag input attributes name sameasmailingaddress type checkbox label same as mailing address ua autofill hints id sameasmailingaddresselement ,13,tag input attributes name cc exp year type select one label year credit card exp year id tag form attributes name tag input attributes name cc exp month type select one label date credit card exp month id tag input attributes name type label same as mailing address id
164,1,  email or member number ex johndoe website com gigya loginid  missing gigya login form  missing   missing ,15,email or member number ex website com login form
165,225,  pin password gigya password  missing gigya login form  missing   missing gigya login screen,18,pin password password login form login screen
166,1,  first name firstname  missing   missing   missing ,17,first name
167,1,  last name lastname  missing   missing   missing ,17,last name
168,209,  verify email address confirmemail  missing   missing   missing ,15,verify email address
169,225,  create password password  missing   missing   missing ,18,create password password
170,225,  verify password confirmpassword  missing   missing   missing ,18,verify password
171,1,  street address address  missing   missing   missing ,2,street address address
172,1,  street address continued address  missing   missing   missing ,2,street address continued address
173,1,  city town city  missing   missing   missing ,0,city town city
174,1,  county province state state  missing   missing   missing ,4,county province state state
175,1,  postal code zipcode  missing   missing   missing ,5,postal code
176,209,  email address email  missing   missing ,15,email address email
177,3,  phone number phonenumber  missing  cancel missing   missing ,19,phone number cancel
178,1,  street address address  missing   street address continued address  missing ,2,street address address street address continued address
179,1,  street address continued address  missing   missing   missing ,2,street address continued address
180,1,  county province state state  missing   missing  cancel missing ,4,county province state state cancel
181,1,  city city  missing   street address continued address  missing ,0,city city street address continued address
182,1,  zip code zipcode  missing   country region countryselect  missing ,5,zip code country region
183,1,  payment card number cardnumberelement  missing card number field element  missing ,12,payment card number card number field element
184,1,  your digit mobile number user mobile  missing open account form  missing   missing ,19,your mobile number user mobile open account form
186,1,  missing   missing   missing   missing ,17,missing
187,1,  e mail   missing   missing ,15,e mail
189,1,  email or username userid  missing   missing signin form  missing signin form,15,email or username form form
190,225,  password for sairojach gmail com pass  missing   missing   missing ,18,password for com pass
191,3,  phone edit text  phone input view login country chooser selected country united states calling code flag group  phone divider,19,phone edit text phone input view login country selected country united states calling code flag group phone
193,2,  enter card number design internal text input layout edit text  card number edit text  design internal text input layout message text  design internal text input layout message text,12,enter card number design internal text input layout edit text card number edit text design internal text input layout message text design internal text input layout message text
194,20,  mm yy design internal text input layout edit text  expires edit txt  input card  design internal text input layout message text,13,mm design internal text input layout edit text edit input card design internal text input layout message text
196,2,  zip design internal text input layout edit text  zip edit text  design internal text input layout message text  design internal text input layout message text,5,zip design internal text input layout edit text zip edit text design internal text input layout message text design internal text input layout message text
197,3,  missing missing  missing   missing   missing ,19,missing
202,12290, mobile   ll react container    ,19,mobile
203,1, email   ll react container    ,19,email
204,129, password   ll react container bag   ,18,password bag
205,1,  phone number username or email   missing   missing   missing ,19,phone number username or email
206,225,  password   missing   missing   missing ,18,password
207,33,  email or phone number login email  username text input layout    textinput placeholder,19,email or phone number login email username text input layout
208,129,  password login password  password text input layout    textinput placeholder,18,password login password password text input layout
209,33,  email edittext  inputlayout    textinput placeholder,15,email
210,129,  password edittext  inputlayout  password  ,18,password password
211,1,  first name id firstname  missing   missing   missing ,17,first name id
212,1,  last name id lastname  missing   missing   missing ,17,last name id
213,3,  expiration date mm yy id creditexpirationmonth  missing   missing   missing ,13,date mm id
215,3,  card number id creditcardnumber  missing   missing   missing ,12,card number id
216,0,  full name tag input attributes name address ui widgets enteraddressfullname type text label full name ua autofill hints name full id address ui widgets enteraddressfullname maxlength   tag form attributes name address ui address form   mobile number tag input attributes name address ui widgets enteraddressphonenumber type tel label mobile number ua autofill hints phone home whole number id address ui widgets enteraddressphonenumber maxlength   landmark e g near apollo hospital tag input attributes name address ui widgets landmark type text label landmark e g near apollo hospital ua autofill hints id address ui widgets landmark maxlength ,17,full name tag input attributes name address type text label full name name full id address tag form attributes name address address form mobile number tag input attributes name address type tel label mobile number phone home whole number id address e g near hospital tag input attributes name address type text label e g near hospital id address
217,0,  mobile number tag input attributes name address ui widgets enteraddressphonenumber type tel label mobile number ua autofill hints phone home whole number id address ui widgets enteraddressphonenumber maxlength   tag form attributes name address ui address form   town city tag input attributes name address ui widgets enteraddresscity type text label town city ua autofill hints address home city id address ui widgets enteraddresscity maxlength   area colony street sector village tag input attributes name address ui widgets enteraddressline type text label area colony street sector village ua autofill hints address home line id address ui widgets enteraddressline maxlength ,19,mobile number tag input attributes name address type tel label mobile number phone home whole number id address tag form attributes name address address form town city tag input attributes name address type text label town city address home city id address area street sector village tag input attributes name address type text label area street sector village address home line id address
218,0,  pin code tag input attributes name address ui widgets enteraddresspostalcode type text label pin code ua autofill hints address home zip id address ui widgets enteraddresspostalcode maxlength   tag form attributes name address ui address form   mash web fragment  missing tag input attributes name address ui widgets countrycode type select one label unable to change country please try again ua autofill hints address home country id address ui widgets countrycode dropdown nativeid ,5,pin code tag input attributes name address type text label pin code address home zip id address tag form attributes name address address form web tag input attributes name address type select one label unable to change country please try again address home country id address
219,0,  flat house no building company apartment tag input attributes name address ui widgets enteraddressline type text label flat house no building company apartment ua autofill hints address home line id address ui widgets enteraddressline maxlength   tag form attributes name address ui address form   area colony street sector village tag input attributes name address ui widgets enteraddressline type text label area colony street sector village ua autofill hints address home line id address ui widgets enteraddressline maxlength   landmark e g near apollo hospital tag input attributes name address ui widgets landmark type text label landmark e g near apollo hospital ua autofill hints id address ui widgets landmark maxlength ,2,flat house no building company apartment tag input attributes name address type text label flat house no building company apartment address home line id address tag form attributes name address address form area street sector village tag input attributes name address type text label area street sector village address home line id address e g near hospital tag input attributes name address type text label e g near hospital id address
220,0,  area colony street sector village tag input attributes name address ui widgets enteraddressline type text label area colony street sector village ua autofill hints address home line id address ui widgets enteraddressline maxlength   tag form attributes name address ui address form   missing tag input attributes name address ui widgets addr details address type and business hours type select one label address type ua autofill hints id   missing tag input attributes name address ui widgets enteraddressstateorregion type select one label add a new addressadd delivery instructionspreferences are used to plan your delivery however shipments can sometimes arrive early or later than planned add address ua autofill hints address home state id address ui widgets enteraddressstateorregion dropdown nativeid ,2,area street sector village tag input attributes name address type text label area street sector village address home line id address tag form attributes name address address form tag input attributes name address details address type and business hours type select one label address type id tag input attributes name address type select one label add a new delivery are used to plan your delivery however can sometimes early or later than planned add address address home state id address
221,0,  landmark e g near apollo hospital tag input attributes name address ui widgets landmark type text label landmark e g near apollo hospital ua autofill hints id address ui widgets landmark maxlength   tag form attributes name address ui address form   missing tag input attributes name address ui widgets enteraddressstateorregion type select one label add a new addressadd delivery instructionspreferences are used to plan your delivery however shipments can sometimes arrive early or later than planned add address ua autofill hints address home state id address ui widgets enteraddressstateorregion dropdown nativeid   full name tag input attributes name address ui widgets enteraddressfullname type text label full name ua autofill hints name full id address ui widgets enteraddressfullname maxlength ,2,e g near hospital tag input attributes name address type text label e g near hospital id address tag form attributes name address address form tag input attributes name address type select one label add a new delivery are used to plan your delivery however can sometimes early or later than planned add address address home state id address full name tag input attributes name address type text label full name name full id address
